Nom;Adresse 1 (facturation);Code postal (facturation);Ville (facturation);Téléphone fixe (facturation);Téléphone portable (facturation);E-mail (facturation)
AC AUTOMATION;6 ROUTE DE BESANCON;25210;BONNETAGE;0381438131;;administratif@acautomation.fr
ACTYMO;7 RUE DE PONTARLIER;25000;BESANCON;0381622541;;actymo25@gmail.com
ADEC ATELIER DECOUPAGE EMBOUTISSAGE CRAMBRAGE;3 RUE MOULIN;25150;REMONDANS VAIVRE;0381924293;0699178980;
ADEO INFORMATIQUE;VALPARC VALENTIN;25045;BESANCON CEDEX;0381885454;;
ASSOCIATION AFAR;BP 86;25120;MAICHE;0630818095;;contact@infosoft25.com
AGENCE DENIS CUENOT;3 RUE CROIX BLANCHE;25130;VILLERS LE LAC;0381680303;0680846939 JOEL;joel.agencecuenot@wanadoo.fr
AGENCE PARTENAIRE ORANGE;RESIDENCE LA PASTORALE;69200;VENISSIEUX;0478700912;0607082368;salah.kridene@agence-partenaire.fr
ALIMENTATION PAGNOT;2 Rue des Armaillis;25140;CHARQUEMONT;0381682513;;
AMBULANCE BINET;28 RUE DE BESANCON;25140;CHARQUEMONT;0381640794;;
AMD ATELIER MECANIC DEMAIMAY;16 RUE DU MOULIN;25150;PONT DE ROIDE;0381922580;;e.deniziot@amd-sas.fr
ANIMOVET;4 RUE DU GYMNASE;25120;MAICHE;0381641303;;VETERINAIRES@ANIMOVET.FR
L'A.P.E.L ST JOSEPH;31 RUE DE LA BATHEUSE;25120;MAICHE;0381640584;0670795130;association.saint.joseph@wanadoo.fr
ARMURERIE SANSEIGNE;7 GRANDE RUE;25390;ORCHAMPS VENNES;0381435516;;sanseigne.armurerie@orange.fr
ASSOCIATION INSERCALL;10 RUE DE LA BANDE;84000;AVIGNON;0432400000;;
ASSURANCE GRISIER GILLES;18 RUE GENERAL DE GAULLE;25120;MAICHE;0381640104;0607627683;1093951@agents.allianz.fr
ASSURANCE JEAN LUC RENAUD;18 RUE GENERAL DE GAULLE;25120;MAICHE;0381640104;;
